ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 64346, progress = 23
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 64346, progress = 23
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 73936, progress = 26
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 73936, progress = 26
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 80786, progress = 29
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 80786, progress = 29
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 83526, progress = 30
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 83526, progress = 30
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 84896, progress = 30
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 84896, progress = 30
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 90376, progress = 32
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 90376, progress = 32
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 95568, progress = 34
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 95568, progress = 34
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 96938, progress = 35
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 96938, progress = 35
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 117488, progress = 42
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 117488, progress = 42
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 140778, progress = 50
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 140778, progress = 50
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 158300, progress = 57
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 158300, progress = 57
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 161040, progress = 58
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 161040, progress = 58
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 176110, progress = 63
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 176110, progress = 63
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 178850, progress = 64
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 178850, progress = 64
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 181590, progress = 65
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 181590, progress = 65
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 185700, progress = 67
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 185700, progress = 67
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 189810, progress = 68
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 189810, progress = 68
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 192550, progress = 69
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 192550, progress = 69
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 199400, progress = 72
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 199400, progress = 72
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 203510, progress = 73
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 203510, progress = 73
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 214470, progress = 77
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 214470, progress = 77
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 226512, progress = 82
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 226512, progress = 82
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 230622, progress = 83
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 230622, progress = 83
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 233362, progress = 84
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 233362, progress = 84
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 244322, progress = 88
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 244322, progress = 88
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 251172, progress = 90
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 251172, progress = 90
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 260762, progress = 94
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 260762, progress = 94
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 264872, progress = 95
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 264872, progress = 95
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 267612, progress = 96
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 267612, progress = 96
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 274462, progress = 99
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 274462, progress = 99
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
ProgressCallback called. TotalToDownload = 276119, NowDownloaded = 276119, progress = 100
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
ProgressCallback called. TotalToDownload = 0, NowDownloaded = 0, progress = -2147483648
